y_zone,year,strip,pdk,d_rank,dry_or_irr,zone,GG_new,classes
7m,87,5,3,0,0,D,M,low
6f,86,4,1,0,1,D,F,low
1m,91,6,1,5,5,D,M,average
9m,89,5,1,0,0,B,M,low
9c,89,9,2,3,3,D,C,low
1f,91,1,1,1,1,D,F,high
6m,86,6,1,2,0,D,M,average
7c,87,10,2,3,2,D,C,high
0m,90,6,2,2,1,D,M,low
1m,91,6,2,2,1,B,M,low
1c,91,10,1,5,4,D,C,high
7c,87,10,1,3,2,D,C,veryhigh
6c,86,10,5,3,3,D,C,high
7f,87,3,4,2,1,D,F,low
9f,89,2,3,3,4,D,F,veryhigh
0m,90,6,3,4,4,D,M,average
9f,89,1,3,0,0,D,F,low
8m,88,7,1,0,1,B,M,low
0m,90,5,1,0,0,B,M,low
6m,86,6,2,3,3,D,M,average
6c,86,10,3,3,3,D,C,high
1f,91,2,3,2,1,D,F,low
1f,91,1,2,2,2,D,F,average
0f,90,4,2,3,3,D,F,average
2m,92,7,3,3,3,D,M,high
7f,87,3,5,0,1,D,F,low
2f,92,2,2,2,2,D,F,low
9f,89,3,3,4,4,D,F,veryhigh
1c,91,9,3,3,2,B,C,average
9f,89,1,1,4,4,D,F,high
6f,86,3,3,1,1,D,F,high
1f,91,3,1,2,2,D,F,average
9m,89,6,1,2,2,D,M,low
2m,92,7,1,2,1,B,M,average
1m,91,5,2,2,2,B,M,low
0f,90,1,3,1,1,D,F,average
7f,87,1,3,3,3,D,F,veryhigh
2c,92,10,1,3,3,O,C,high
0f,90,2,1,3,3,D,F,high
2f,92,4,2,4,4,D,F,veryhigh
9f,89,2,2,2,1,D,F,veryhigh
2f,92,3,1,3,3,D,F,high
0c,90,9,3,4,4,D,C,average
9m,89,5,2,3,4,D,M,veryhigh
1c,91,9,1,3,2,D,C,high
8c,88,9,3,2,0,D,C,high
9f,89,3,1,1,1,D,F,average
1m,91,7,1,0,0,B,M,low
6f,86,3,1,1,0,D,F,low
1f,91,2,1,3,3,D,F,high
2f,92,1,4,3,3,D,F,veryhigh
2f,92,2,3,4,4,D,F,average
8m,88,6,3,1,1,D,M,low
8m,88,6,4,0,0,D,M,low
2f,92,3,3,1,1,O,F,high
8c,88,10,1,3,3,O,C,high
